Rank,Name,"Wealth
Change",Net worth (USD),Company,Sources of wealth
1,Mukesh Ambani,,83.4 billion,Reliance Industries,"Petrochemicals, telecom, retail"
2,Gautam Adani,,47.2 billion,Adani Group,"Commodities, ports, power generation and transmission, real estate, defense, airport and data centre"
3,Shiv Nadar,,25.6 billion,HCL Technologies,IT services and consulting
4,Cyrus Poonawalla,,22.6 billion,Serum Institute of India,Vaccines
5,Lakshmi Mittal,,17.7 billion,ArcelorMittal,Steel
6,Savitri Jindal,,17.5 billion,"JSW Group
Jindal Steel & Power","Steel, energy, cement and infrastructure"
7,Dilip Shanghvi,,15.6 billion,Sun Pharmaceutical Industries,Pharmaceuticals
8,Radhakishan Damani,,15.3 billion,"Avenue Supermarts, DMart","Investments, retail"
9,Kumar Mangalam Birla,,14.2 billion,Aditya Birla Group,"Textiles, telecom, cement"
10,Uday Kotak,,12.9 billion,Kotak Mahindra Bank,Banking
11,Azim Premji,,9.2 billion,Wipro Group,IT services and consulting
12,Ravi Jaipuria,,8.6 billion,RJ Corp,Fast food
13,Kushal Pal Singh,,8.2 billion,DLF,Real estate
14,Hasmukh Chudgar & family,,7.6 billion,Intas Pharmaceuticals,Pharmaceuticals
15,Benu Gopal Bangur,,7.3 billion,Shree Cement,Cement
16,Rohiqa Cyrus Mistry,NEW,7.0 billion,Shapoorji Pallonji Group,"Construction, real estate"
17,Ashwin Dani,,7.0 billion,Asian Paints,Paints
18,Sunil Mittal,,6.1 billion,Bharti Enterprises,Telecom
19,Gopikishan Damani & family,,6.0 billion,"Avenue Supermarts, DMart","Investments, retail"
20,Vikram Lal,,5.6 billion,Eicher Motors,Automotive
21,Mahendra Choksi & family,,5.4 billion,Asian Paints,Paints
22,M. A. Yusuff Ali,,5.3 billion,LuLu Group International,Retail
23,Micky Jagtiani,,5.2 billion,Landmark Group,"Retail, Hospitality, Healthcare"
24,Rekha Jhunjhunwala,,5.1 billion,Rare Enterprises,Investments
25,Murali Divi & family,,4.9 billion,Divi's Laboratories,Pharmaceuticals
